/*
 *
 *  Dados fornecidos pela Iplam (Instituto de pesquisa e planejamento urbano)
 *  da cidade de Ponta Grossa Paraná Brasil.
 *
 */
wkt_geom,id,LOGRADOURO,LOTEAMENTO,BAIRRO,KM,TIPO_EQUI,COOR X,COOR Y
Point (-50.16175012535330069 -25.10457092649806299),,Rua Balduino Taques,Placidina,Estrela,,Semafaro,-501617501254,-251045709265
Point (-50.16132678155084079 -25.10592173005070649),,Rua Balduino Taques,Estrela,Estrela,,Semafaro,-501613267816,-251059217301
Point (-50.14067806918276204 -25.09124892910532978),,Avenida Carlos Cavalcanti,Ana Rita,Uvaranas,,Semafaro,-501406780692,-250912489291
Point (-50.13531055685127313 -25.09238955556496009),,Avenida Carlos Cavalcanti,Marina do Prado,Uvaranas,,Semafaro,-501353105569,-250923895556
Point (-50.12491168853937751 -25.09342879426468542),,Avenida Carlos Cavalcanti,Uvaranas,Uvaranas,,Semafaro,-501249116885,-250934287943
Point (-50.1107957878564676 -25.09055256310837478),,Avenida Carlos Cavalcanti,Rubini,Uvaranas,,Semafaro,-501107957879,-250905525631
Point (-50.18716451134650214 -25.07793349429134722),,Rua Jesuino Manoel de Almeida,Boa Vista,Boa Vista,,Semafaro,-501871645113,-250779334943
Point (-50.15644038796469317 -25.1041076532855314),,Rua Ermelino de Leão,Companhia Prado de Eletricidade,Olarias,,Semafaro,-50156440388,-251041076533
Point (-50.15486332268408631 -25.12000049819438274),,Avenida Visconde de Maua,Oficinas Taques,Oficinas,,Semafaro,-501548633227,-251200004982
Point (-50.15509856944142797 -25.1277224337632461),,Avenida Visconde de Maua,Oficinas Taques,Oficinas,,Semafaro,-501550985694,-251277224338
